UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20460159     PULS   2018 
     20460161     PULS   2018 
     20460163     PULS   2033 
     20460165     PULS   2033 
     20460169     PULS   2062 
     20460171     PULS   2077 
     20460173     PULS   2077 
     20460175     PULS   2107 
     20460177     PULS   2121 
     20460179     PULS   2136 
     20460181     PULS   2151 
     20460183     PULS   2151 
     20460185     PULS   2136 
     20460187     PULS   2136 
     20460189     PULS   2136 
     20460191     PULS   2121 
     20460193     PULS   2107 
     20460195     PULS   2092 
     20460197     PULS   2092 
     20460199     PULS   2092 
     20460201     PULS   2062 
     20460203     PULS   2077 
     20460205     PULS   2062 
     20460211     PULS   2033 
     20460213     PULS   2018 
     20460215     PULS   2003 
     20460217     PULS   2003 
     20460219     PULS   1989 
     20460221     PULS   1989 
     20460223     PULS   1989 
     20460225     PULS   1974 
     20460227     PULS   1959 
     20460229     PULS   1944 
     20460231     PULS   1930 
     20460233     PULS   1930 
     20460235     PULS   1915 
     20460237     PULS   1915 
     20460239     PULS   1915 
     20460241     PULS   1915 
     20460243     PULS   1915 
     20460245     PULS   1930 
     20460247     PULS   1930 
     20460249     PULS   1930 
     20460251     PULS   1930 
     20460253     PULS   1944 
     20460255     PULS   1944 
     20460257     PULS   1944 
     20460259     PULS   1930 
     20460261     PULS   1915 
     20460263     PULS   1885 
     20460265     PULS   1885 
     20460267     PULS   1871 
     20460269     PULS   1871 
     20460271     PULS   1885 
     20460273     PULS   1871 
     20460275     PULS   1871 
     20460277     PULS   1856 
     20460279     PULS   1856 
     20460281     PULS   1841 
     20460283     PULS   1826 
     20460285     PULS   1812 
     20460287     PULS   1812 
     20460289     PULS   1812 
     20460291     PULS   1826 
     20460293     PULS   1812 
     20460295     PULS   1826 
     20460297     PULS   1826 
     20460299     PULS   1841 
     20460301     PULS   1856 
     20460303     PULS   1871 
     20460305     PULS   1871 
     20460307     PULS   1871 
     20460309     PULS   1885 
     20460311     PULS   1900 
     20460313     PULS   1915 
     20460315     PULS   1915 
     20460317     PULS   1930 
     20460319     PULS   1930 
     20460321     PULS   1944 
     20460323     PULS   1944 
     20460325     PULS   1944 
     20460327     PULS   1944 
     20460329     PULS   1974 
     20460331     PULS   1974 
     20460333     PULS   1989 
     20460335     PULS   1989 
     20460337     PULS   1989 
     20460339     PULS   2003 
     20460341     PULS   1989 
     20460343     PULS   1974 
     20460345     PULS   1974 
     20460347     PULS   1959 
     20460349     PULS   1959 
     20460351     PULS   1974 
     20460353     PULS   1974 
     20460355     PULS   2003 
     20460357     PULS   2033 
     20460361     PULS   2077 
     20460363     PULS   2107 
     20460365     PULS   2136 
     20460367     PULS   2151 
     20460369     PULS   2180 
     20460371     PULS   2195 
     20460373     PULS   2210 
     20460375     PULS   2225 
     20460377     PULS   2239 
     20460379     PULS   2254 
     20460381     PULS   2269 
     20460383     PULS   2298 
     20460385     PULS   2313 
     20460387     PULS   2328 
     20460389     PULS   2343 
     20460391     PULS   2372 
     20460393     PULS   2402 
     20460395     PULS   2416 
     20460397     PULS   2446 
     20460399     PULS   2475 
     20460401     PULS   2505 
     20460403     PULS   2520 
     20460405     PULS   2534 
     20460407     PULS   2534 
     20460409     PULS   2564 
     20460411     PULS   2564 
     20460413     PULS   2579 
     20460415     PULS   2579 
     20460417     PULS   2579 
     20460419     PULS   2579 
     20460421     PULS   2564 
     20460423     PULS   2534 
     20460425     PULS   2505 
     20460427     PULS   2475 
     20460429     PULS   2461 
     20460431     PULS   2446 
     20460433     PULS   2431 
     20460435     PULS   2416 
     20460437     PULS   2402 
     20460439     PULS   2387 
     20460435     PULS   2048  PULS_TRIGGER
     20460441     PULS   2372 
     20460443     PULS   2357 
     20460445     PULS   2328 
     20460447     PULS   2298 
     20460449     PULS   2284 
     20460451     PULS   2269 
     20460453     PULS   2239 
     20460455     PULS   2239 
     20460457     PULS   2225 
     20460459     PULS   2210 
     20460461     PULS   2195 
     20460463     PULS   2180 
     20460465     PULS   2180 
     20460467     PULS   2166 
     20460469     PULS   2166 
     20460471     PULS   2151 
     20460473     PULS   2151 
     20460475     PULS   2151 
     20460477     PULS   2136 
     20460479     PULS   2121 
     20460481     PULS   2092 
     20460483     PULS   2077 
     20460485     PULS   2062 
     20460491     PULS   2033 
     20460493     PULS   2033 
     20460495     PULS   2033 
     20460497     PULS   2033 
     20460499     PULS   2018 
     20460501     PULS   2003 
     20460503     PULS   1989 
     20460505     PULS   1959 
     20460507     PULS   1944 
     20460509     PULS   1930 
     20460511     PULS   1915 
     20460513     PULS   1900 
     20460515     PULS   1885 
     20460517     PULS   1871 
     20460519     PULS   1871 
     20460521     PULS   1871 
     20460523     PULS   1841 
     20460525     PULS   1856 
     20460527     PULS   1856 
     20460529     PULS   1871 
     20460531     PULS   1871 
     20460533     PULS   1885 
     20460535     PULS   1915 
     20460537     PULS   1944 
     20460539     PULS   1959 
     20460541     PULS   1989 
     20460543     PULS   2003 
     20460545     PULS   2018 
     20460547     PULS   2018 
     20460549     PULS   2018 
     20460551     PULS   2003 
     20460553     PULS   2018 
     20460555     PULS   2018 
     20460557     PULS   2033 
     20460559     PULS   2033 
     20460561     PULS   2033 
     20460563     PULS   2018 
     20460565     PULS   2018 
     20460567     PULS   2003 
     20460569     PULS   1989 
     20460571     PULS   1974 
     20460573     PULS   1944 
     20460575     PULS   1930 
     20460577     PULS   1900 
     20460579     PULS   1885 
     20460581     PULS   1856 
     20460583     PULS   1841 
     20460585     PULS   1826 
     20460587     PULS   1812 
     20460589     PULS   1812 
     20460591     PULS   1812 
     20460593     PULS   1812 
     20460595     PULS   1812 
     20460597     PULS   1826 
     20460599     PULS   1812 
     20460601     PULS   1812 
     20460603     PULS   1826 
     20460605     PULS   1812 
     20460607     PULS   1812 
     20460609     PULS   1812 
     20460611     PULS   1797 
     20460613     PULS   1812 
     20460615     PULS   1812 
     20460617     PULS   1812 
     20460619     PULS   1826 
     20460621     PULS   1826 
     20460623     PULS   1841 
     20460625     PULS   1856 
     20460627     PULS   1871 
     20460629     PULS   1885 
     20460631     PULS   1900 
     20460633     PULS   1915 
     20460635     PULS   1930 
     20460637     PULS   1944 
     20460639     PULS   1959 
     20460641     PULS   1974 
     20460643     PULS   1989 
