UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20245946     RESP   2556 
     20245954     RESP   2553 
     20245962     RESP   2546 
     20245970     RESP   2537 
     20245978     RESP   2524 
     20245986     RESP   2509 
     20245994     RESP   2492 
     20246002     RESP   2472 
     20246010     RESP   2451 
     20246018     RESP   2427 
     20246026     RESP   2403 
     20246034     RESP   2377 
     20246042     RESP   2351 
     20246050     RESP   2324 
     20246058     RESP   2297 
     20246066     RESP   2271 
     20246074     RESP   2243 
     20246082     RESP   2215 
     20246090     RESP   2187 
     20246098     RESP   2158 
     20246106     RESP   2130 
     20246114     RESP   2101 
     20246122     RESP   2072 
     20246130     RESP   2044 
     20246138     RESP   2015 
     20246146     RESP   1985 
     20246154     RESP   1955 
     20246162     RESP   1924 
     20246170     RESP   1893 
     20246178     RESP   1862 
     20246186     RESP   1831 
     20246194     RESP   1801 
     20246202     RESP   1770 
     20246210     RESP   1739 
     20246218     RESP   1707 
     20246226     RESP   1675 
     20246234     RESP   1642 
     20246242     RESP   1609 
     20246250     RESP   1574 
     20246258     RESP   1540 
     20246266     RESP   1505 
     20246274     RESP   1470 
     20246282     RESP   1435 
     20246290     RESP   1400 
     20246298     RESP   1364 
     20246306     RESP   1329 
     20246314     RESP   1294 
     20246322     RESP   1260 
     20246330     RESP   1228 
     20246338     RESP   1196 
     20246346     RESP   1168 
     20246354     RESP   1141 
     20246362     RESP   1116 
     20246370     RESP   1093 
     20246378     RESP   1072 
     20246386     RESP   1052 
     20246394     RESP   1034 
     20246402     RESP   1017 
     20246410     RESP   1001 
     20246418     RESP    987 
     20246426     RESP    974 
     20246434     RESP    961 
     20246442     RESP    947 
     20246450     RESP    934 
     20246458     RESP    919 
     20246466     RESP    904 
     20246474     RESP    889 
     20246482     RESP    872 
     20246490     RESP    856 
     20246498     RESP    840 
     20246506     RESP    823 
     20246514     RESP    805 
     20246522     RESP    785 
     20246530     RESP    765 
     20246538     RESP    745 
     20246546     RESP    726 
     20246554     RESP    707 
     20246562     RESP    690 
     20246570     RESP    673 
     20246578     RESP    656 
     20246586     RESP    640 
     20246594     RESP    624 
     20246602     RESP    611 
     20246610     RESP    599 
     20246618     RESP    589 
     20246626     RESP    582 
     20246634     RESP    577 
     20246642     RESP    575 
     20246650     RESP    575 
     20246658     RESP    579 
     20246666     RESP    585 
     20246674     RESP    595 
     20246682     RESP    608 
     20246690     RESP    625 
     20246698     RESP    644 
     20246706     RESP    668 
     20246714     RESP    694 
     20246722     RESP    723 
     20246730     RESP    754 
     20246738     RESP    786 
     20246746     RESP    819 
     20246754     RESP    853 
     20246762     RESP    887 
     20246770     RESP    922 
     20246778     RESP    956 
     20246786     RESP    991 
     20246794     RESP   1025 
     20246802     RESP   1060 
     20246810     RESP   1095 
     20246818     RESP   1130 
     20246826     RESP   1166 
     20246834     RESP   1202 
     20246842     RESP   1238 
     20246850     RESP   1276 
     20246858     RESP   1314 
     20246866     RESP   1354 
     20246874     RESP   1394 
     20246882     RESP   1435 
     20246890     RESP   1475 
     20246898     RESP   1517 
     20246906     RESP   1558 
     20246914     RESP   1598 
     20246922     RESP   1639 
     20246930     RESP   1678 
     20246938     RESP   1717 
     20246946     RESP   1757 
     20246954     RESP   1796 
     20246962     RESP   1835 
     20246970     RESP   1874 
     20246978     RESP   1913 
     20246986     RESP   1953 
     20246994     RESP   1992 
     20247002     RESP   2031 
     20247010     RESP   2069 
     20247018     RESP   2107 
     20247026     RESP   2145 
     20247034     RESP   2183 
     20247042     RESP   2220 
     20247050     RESP   2255 
     20247058     RESP   2288 
     20247066     RESP   2319 
     20247074     RESP   2349 
     20247082     RESP   2375 
     20247090     RESP   2399 
     20247098     RESP   2420 
     20247106     RESP   2439 
     20247114     RESP   2455 
     20247122     RESP   2468 
     20247130     RESP   2477 
     20247138     RESP   2483 
     20247146     RESP   2486 
     20247154     RESP   2486 
     20247162     RESP   2484 
     20247170     RESP   2479 
     20247178     RESP   2471 
     20247186     RESP   2462 
     20247194     RESP   2450 
     20247202     RESP   2437 
     20247210     RESP   2421 
     20247218     RESP   2403 
     20247226     RESP   2386 
     20247234     RESP   2368 
     20247242     RESP   2349 
     20247250     RESP   2331 
     20247258     RESP   2312 
     20247266     RESP   2292 
     20247274     RESP   2273 
     20247282     RESP   2253 
     20247290     RESP   2233 
     20247298     RESP   2213 
     20247306     RESP   2192 
     20247314     RESP   2172 
     20247322     RESP   2151 
     20247330     RESP   2129 
     20247338     RESP   2105 
     20247346     RESP   2080 
     20247354     RESP   2054 
     20247362     RESP   2028 
     20247370     RESP   2000 
     20247378     RESP   1973 
     20247386     RESP   1945 
     20247394     RESP   1916 
     20247402     RESP   1888 
     20247410     RESP   1858 
     20247418     RESP   1827 
     20247426     RESP   1796 
     20247434     RESP   1765 
     20247442     RESP   1735 
     20247450     RESP   1703 
     20247458     RESP   1672 
     20247466     RESP   1639 
     20247474     RESP   1604 
     20247482     RESP   1570 
     20247490     RESP   1534 
     20247498     RESP   1498 
     20247506     RESP   1463 
     20247514     RESP   1429 
     20247522     RESP   1395 
     20247530     RESP   1363 
     20247538     RESP   1331 
     20247546     RESP   1301 
     20247554     RESP   1273 
     20247562     RESP   1246 
     20247570     RESP   1222 
     20247578     RESP   1199 
     20247586     RESP   1178 
     20247594     RESP   1159 
     20247602     RESP   1139 
     20247610     RESP   1121 
     20247618     RESP   1101 
     20247626     RESP   1081 
     20247634     RESP   1061 
     20247642     RESP   1040 
     20247650     RESP   1019 
     20247658     RESP    997 
     20247666     RESP    974 
     20247674     RESP    950 
     20247682     RESP    925 
     20247690     RESP    900 
     20247698     RESP    874 
     20247706     RESP    848 
     20247714     RESP    824 
     20247722     RESP    800 
     20247730     RESP    778 
     20247738     RESP    756 
     20247746     RESP    735 
     20247754     RESP    716 
     20247762     RESP    700 
     20247770     RESP    686 
     20247778     RESP    673 
     20247786     RESP    663 
     20247794     RESP    656 
     20247802     RESP    652 
     20247810     RESP    652 
     20247818     RESP    656 
     20247826     RESP    662 
     20247834     RESP    672 
     20247842     RESP    686 
     20247850     RESP    705 
     20247858     RESP    725 
     20247866     RESP    749 
     20247874     RESP    776 
     20247882     RESP    806 
     20247890     RESP    840 
     20247898     RESP    876 
     20247906     RESP    914 
     20247914     RESP    952 
     20247922     RESP    992 
     20247930     RESP   1032 
     20247938     RESP   1072 
     20247946     RESP   1113 
     20247954     RESP   1153 
     20247962     RESP   1195 
     20247970     RESP   1235 
     20247978     RESP   1277 
     20247986     RESP   1317 
     20247994     RESP   1356 
     20248002     RESP   1393 
     20248010     RESP   1430 
