UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 540
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
   189      54         20809267         20809277     0
   189      13         20809292         20809302     0
   189      29         20809292         20809302     0
   189      45         20809292         20809302     0
   189      61         20809292         20809302     0
   189       4         20809317         20809327     0
   189      20         20809317         20809327     0
   189      36         20809317         20809327     0
   189      52         20809317         20809327     0
   189      11         20809342         20809352     0
   189      27         20809342         20809352     0
   189      43         20809342         20809352     0
   189      59         20809342         20809352     0
   189       2         20809367         20809377     0
   189      18         20809367         20809377     0
   189      34         20809367         20809377     0
   189      50         20809367         20809377     0
   189       9         20809392         20809402     0
   189      25         20809392         20809402     0
   189      41         20809392         20809402     0
   189      57         20809392         20809402     0
   190       0         20809417         20809427     0
   190      16         20809417         20809427     0
   190      32         20809417         20809427     0
   190      48         20809417         20809427     0
   190       7         20809442         20809452     0
   190      23         20809442         20809452     0
   190      39         20809442         20809452     0
   190      55         20809442         20809452     0
   190      14         20809467         20809477     0
   190      30         20809467         20809477     0
   190      46         20809467         20809477     0
   190      62         20809467         20809477     0
   190       5         20809492         20809502     0
   190      21         20809492         20809502     0
   190      37         20809492         20809502     0
   190      53         20809492         20809502     0
   190      12         20809517         20809527     0
   190      28         20809517         20809527     0
   190      44         20809517         20809527     0
   190      60         20809517         20809527     0
   190       3         20809542         20809552     0
   190      19         20809542         20809552     0
   190      35         20809542         20809552     0
   190      51         20809542         20809552     0
   190      10         20809567         20809577     0
   190      26         20809567         20809577     0
   190      42         20809567         20809577     0
   190      58         20809567         20809577     0
   190       1         20809592         20809602     0
   190      17         20809592         20809602     0
   190      33         20809592         20809602     0
   190      49         20809592         20809602     0
   190       8         20809617         20809627     0
   190      24         20809617         20809627     0
   190      40         20809617         20809627     0
   190      56         20809617         20809627     0
   190      15         20809642         20809652     0
   190      31         20809642         20809652     0
   190      47         20809642         20809652     0
   190      63         20809642         20809652     0
   190       6         20809667         20809677     0
   190      22         20809667         20809677     0
   190      38         20809667         20809677     0
   190      54         20809667         20809677     0
   190      13         20809692         20809702     0
   190      29         20809692         20809702     0
   190      45         20809692         20809702     0
   190      61         20809692         20809702     0
   190       4         20809717         20809727     0
   190      20         20809717         20809727     0
   190      36         20809717         20809727     0
   190      52         20809717         20809727     0
   190      11         20809742         20809752     0
   190      27         20809742         20809752     0
   190      43         20809742         20809752     0
   190      59         20809742         20809752     0
   190       2         20809767         20809777     0
   190      18         20809767         20809777     0
   190      34         20809767         20809777     0
   190      50         20809767         20809777     0
   190       9         20809792         20809802     0
   190      25         20809792         20809802     0
   190      41         20809792         20809802     0
   190      57         20809792         20809802     0
   191       0         20809817         20809827     0
   191      16         20809817         20809827     0
   191      32         20809817         20809827     0
   191      48         20809817         20809827     0
   191       7         20809842         20809852     0
   191      23         20809842         20809852     0
   191      39         20809842         20809852     0
   191      55         20809842         20809852     0
   191      14         20809867         20809877     0
   191      30         20809867         20809877     0
   191      46         20809867         20809877     0
   191      62         20809867         20809877     0
   191       5         20809892         20809902     0
   191      21         20809892         20809902     0
   191      37         20809892         20809902     0
   191      53         20809892         20809902     0
   191      12         20809917         20809927     0
   191      28         20809917         20809927     0
   191      44         20809917         20809927     0
