UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20726828     PULS   1989 
     20726830     PULS   1989 
     20726832     PULS   1989 
     20726834     PULS   1974 
     20726836     PULS   1974 
     20726838     PULS   1974 
     20726840     PULS   1959 
     20726842     PULS   1944 
     20726844     PULS   1930 
     20726846     PULS   1900 
     20726848     PULS   1885 
     20726850     PULS   1856 
     20726852     PULS   1856 
     20726854     PULS   1841 
     20726856     PULS   1826 
     20726858     PULS   1826 
     20726860     PULS   1826 
     20726862     PULS   1826 
     20726864     PULS   1826 
     20726866     PULS   1826 
     20726868     PULS   1841 
     20726870     PULS   1841 
     20726872     PULS   1841 
     20726874     PULS   1856 
     20726876     PULS   1871 
     20726878     PULS   1885 
     20726880     PULS   1900 
     20726882     PULS   1900 
     20726884     PULS   1885 
     20726886     PULS   1885 
     20726888     PULS   1871 
     20726890     PULS   1856 
     20726892     PULS   1856 
     20726894     PULS   1856 
     20726896     PULS   1856 
     20726898     PULS   1871 
     20726900     PULS   1871 
     20726902     PULS   1885 
     20726904     PULS   1915 
     20726906     PULS   1915 
     20726908     PULS   1930 
     20726910     PULS   1959 
     20726912     PULS   1959 
     20726914     PULS   1959 
     20726916     PULS   1974 
     20726918     PULS   1989 
     20726920     PULS   1989 
     20726922     PULS   1989 
     20726924     PULS   2003 
     20726926     PULS   2003 
     20726928     PULS   2018 
     20726930     PULS   2018 
     20726932     PULS   2018 
     20726934     PULS   2018 
     20726936     PULS   2003 
     20726938     PULS   1989 
     20726940     PULS   1989 
     20726942     PULS   1989 
     20726944     PULS   1974 
     20726946     PULS   1944 
     20726948     PULS   1944 
     20726950     PULS   1915 
     20726952     PULS   1900 
     20726954     PULS   1885 
     20726956     PULS   1871 
     20726958     PULS   1871 
     20726960     PULS   1871 
     20726962     PULS   1885 
     20726964     PULS   1900 
     20726966     PULS   1930 
     20726968     PULS   1959 
     20726970     PULS   1974 
     20726972     PULS   2003 
     20726974     PULS   2033 
     20726976     PULS   2062 
     20726978     PULS   2107 
     20726980     PULS   2151 
     20726982     PULS   2210 
     20726984     PULS   2239 
     20726986     PULS   2284 
     20726988     PULS   2328 
     20726990     PULS   2372 
     20726992     PULS   2416 
     20726994     PULS   2446 
     20726996     PULS   2475 
     20726998     PULS   2490 
     20727000     PULS   2505 
     20727002     PULS   2505 
     20727004     PULS   2505 
     20727006     PULS   2490 
     20727008     PULS   2490 
     20727010     PULS   2475 
     20727012     PULS   2475 
     20727014     PULS   2475 
     20727016     PULS   2475 
     20727018     PULS   2461 
     20727020     PULS   2461 
     20727022     PULS   2461 
     20727024     PULS   2461 
     20727026     PULS   2461 
     20727028     PULS   2461 
     20727030     PULS   2446 
     20727032     PULS   2446 
     20727034     PULS   2416 
     20727036     PULS   2402 
     20727038     PULS   2372 
     20727040     PULS   2343 
     20727042     PULS   2313 
     20727044     PULS   2298 
     20727046     PULS   2284 
     20727048     PULS   2269 
     20727050     PULS   2254 
     20727052     PULS   2239 
     20727054     PULS   2225 
     20727056     PULS   2210 
     20727058     PULS   2195 
     20727060     PULS   2180 
     20727062     PULS   2166 
     20727029     PULS   2048  PULS_TRIGGER
     20727064     PULS   2136 
     20727066     PULS   2121 
     20727068     PULS   2107 
     20727070     PULS   2107 
