UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20728736     RESP   2696 
     20728744     RESP   2675 
     20728752     RESP   2654 
     20728760     RESP   2632 
     20728768     RESP   2610 
     20728776     RESP   2587 
     20728784     RESP   2564 
     20728792     RESP   2540 
     20728800     RESP   2514 
     20728808     RESP   2488 
     20728816     RESP   2461 
     20728824     RESP   2434 
     20728832     RESP   2407 
     20728840     RESP   2379 
     20728848     RESP   2353 
     20728856     RESP   2327 
     20728864     RESP   2302 
     20728872     RESP   2279 
     20728880     RESP   2255 
     20728888     RESP   2234 
     20728896     RESP   2213 
     20728904     RESP   2194 
     20728912     RESP   2177 
     20728920     RESP   2162 
     20728928     RESP   2148 
     20728936     RESP   2134 
     20728944     RESP   2122 
     20728952     RESP   2108 
     20728960     RESP   2093 
     20728968     RESP   2078 
     20728976     RESP   2062 
     20728984     RESP   2047 
     20728992     RESP   2030 
     20729000     RESP   2013 
     20729008     RESP   1995 
     20729016     RESP   1976 
     20729024     RESP   1957 
     20729032     RESP   1938 
     20729040     RESP   1919 
     20729048     RESP   1901 
     20729056     RESP   1885 
     20729064     RESP   1869 
     20729072     RESP   1854 
     20729080     RESP   1841 
     20729088     RESP   1828 
     20729096     RESP   1815 
     20729104     RESP   1802 
     20729112     RESP   1789 
     20729120     RESP   1776 
     20729128     RESP   1763 
     20729136     RESP   1750 
     20729144     RESP   1736 
     20729152     RESP   1722 
     20729160     RESP   1707 
     20729168     RESP   1692 
     20729176     RESP   1678 
     20729184     RESP   1665 
     20729192     RESP   1652 
     20729200     RESP   1641 
     20729208     RESP   1631 
     20729216     RESP   1622 
     20729224     RESP   1615 
     20729232     RESP   1609 
     20729240     RESP   1604 
     20729248     RESP   1600 
     20729256     RESP   1598 
     20729264     RESP   1596 
     20729272     RESP   1593 
     20729280     RESP   1591 
     20729288     RESP   1588 
     20729296     RESP   1584 
     20729304     RESP   1580 
     20729312     RESP   1575 
     20729320     RESP   1569 
     20729328     RESP   1563 
     20729336     RESP   1557 
     20729344     RESP   1551 
     20729352     RESP   1544 
     20729360     RESP   1539 
     20729368     RESP   1534 
     20729376     RESP   1531 
     20729384     RESP   1530 
     20729392     RESP   1529 
     20729400     RESP   1531 
     20729408     RESP   1535 
     20729416     RESP   1542 
     20729424     RESP   1549 
     20729432     RESP   1557 
     20729440     RESP   1565 
     20729448     RESP   1575 
     20729456     RESP   1585 
     20729464     RESP   1595 
     20729472     RESP   1605 
     20729480     RESP   1615 
     20729488     RESP   1626 
     20729496     RESP   1636 
     20729504     RESP   1647 
     20729512     RESP   1659 
